molecule	abbre	gene	oldgene		start	end	strand	direction	description
Thermus_tengchongensis_YIM_77401T	G19	narG	Thermus_tengchongensis_YIM_77401T_1298	sequence1_1298	1204161	1207751	forward	1	narG
Thermus_tengchongensis_YIM_77401T	G19	narH	Thermus_tengchongensis_YIM_77401T_1299	sequence1_1299	1207767	1209302	forward	1	narH
Thermus_tengchongensis_YIM_77401T	G19	narJ	Thermus_tengchongensis_YIM_77401T_1300	sequence1_1300	1209312	1209824	forward	1	narJ
Thermus_tengchongensis_YIM_77401T	G19	narI	Thermus_tengchongensis_YIM_77401T_1301	sequence1_1301	1209828	1210505	forward	1	narI
Thermus_tengchongensis_YIM_77401T	G19	narK	Thermus_tengchongensis_YIM_77401T_1302	sequence1_1302	1210509	1211840	forward	1	narK
Thermus_tengchongensis_YIM_77401T	G19	MFS transporter	Thermus_tengchongensis_YIM_77401T_1303	sequence1_1303	1211834	1213165	forward	1	MFS transporter
Thermus_thermamylovorans_CFH_72773T	G18	Crp/Fnr	Thermus_thermamylovorans_CFH_72773T_1564	sequence09_51	43837	43184	reverse	-1	Crp/Fnr family transcriptional regulator
Thermus_thermamylovorans_CFH_72773T	G18	GAF	Thermus_thermamylovorans_CFH_72773T_1565	sequence09_52	45640	43841	reverse	-1	GAF
Thermus_thermamylovorans_CFH_72773T	G18	Cytc	Thermus_thermamylovorans_CFH_72773T_1566	sequence09_53	45736	46509	forward	1	cytochrome c
Thermus_thermamylovorans_CFH_72773T	G18	narG	Thermus_thermamylovorans_CFH_72773T_1567	sequence09_54	46506	50096	forward	1	narG
Thermus_thermamylovorans_CFH_72773T	G18	narH	Thermus_thermamylovorans_CFH_72773T_1568	sequence09_55	50109	51641	forward	1	narH
Thermus_thermamylovorans_CFH_72773T	G18	narJ	Thermus_thermamylovorans_CFH_72773T_1569	sequence09_56	51652	52164	forward	1	narJ
Thermus_thermamylovorans_CFH_72773T	G18	narI	Thermus_thermamylovorans_CFH_72773T_1570	sequence09_57	52168	52845	forward	1	narI
Thermus_thermamylovorans_CFH_72773T	G18	narK	Thermus_thermamylovorans_CFH_72773T_1571	sequence09_58	52849	54180	forward	1	narK
Thermus_thermamylovorans_CFH_72773T	G18	MFS transporter	Thermus_thermamylovorans_CFH_72773T_1572	sequence09_59	54177	54180	forward	1	MFS transporter
Thermus_thermophilus_JL-18	G14	Crp/Fnr	Thermus_thermophilus_JL-18_2269	sequence2_269	246280	245627	reverse	-1	Crp/Fnr family transcriptional regulator
Thermus_thermophilus_JL-18	G14	GAF	Thermus_thermophilus_JL-18_2270	sequence2_270	248090	246285	reverse	-1	GAF
Thermus_thermophilus_JL-18	G14	Cytc	Thermus_thermophilus_JL-18_2271	sequence2_271	248186	248974	forward	1	Cytc
Thermus_thermophilus_JL-18	G14	narG	Thermus_thermophilus_JL-18_2272	sequence2_272	248977	252567	forward	1	narG
Thermus_thermophilus_JL-18	G14	narH	Thermus_thermophilus_JL-18_2273	sequence2_273	252579	254114	forward	1	narH
Thermus_thermophilus_JL-18	G14	narJ	Thermus_thermophilus_JL-18_2274	sequence2_274	254124	254639	forward	1	narJ
Thermus_thermophilus_JL-18	G14	narI	Thermus_thermophilus_JL-18_2275	sequence2_275	254644	255333	forward	1	narI
Thermus_thermophilus_JL-18	G14	narK	Thermus_thermophilus_JL-18_2276	sequence2_276	255346	256665	forward	1	narK
Thermus_thermophilus_SG0.5JP17-16	G15	narK	Thermus_thermophilus_SG0.5JP17-16_2217	sequence2_246	-235513	-234194	reverse	-1	narK
Thermus_thermophilus_SG0.5JP17-16	G15	narI	Thermus_thermophilus_SG0.5JP17-16_2218	sequence2_247	-236215	-235526	reverse	-1	narI
Thermus_thermophilus_SG0.5JP17-16	G15	narJ	Thermus_thermophilus_SG0.5JP17-16_2219	sequence2_248	-236734	-236219	reverse	-1	narJ
Thermus_thermophilus_SG0.5JP17-16	G15	narH	Thermus_thermophilus_SG0.5JP17-16_2220	sequence2_249	-238279	-236744	reverse	-1	narH
Thermus_thermophilus_SG0.5JP17-16	G15	narG	Thermus_thermophilus_SG0.5JP17-16_2221	sequence2_250	-241881	-238291	reverse	-1	narG
Thermus_thermophilus_SG0.5JP17-16	G15	Cytc	Thermus_thermophilus_SG0.5JP17-16_2222	sequence2_251	-242672	-241884	reverse	-1	Cytc
Thermus_thermophilus_SG0.5JP17-16	G15	GAF	Thermus_thermophilus_SG0.5JP17-16_2223	sequence2_252	-242768	-244573	forward	1	GAF
Thermus_thermophilus_SG0.5JP17-16	G15	Crp/Fnr	Thermus_thermophilus_SG0.5JP17-16_2224	sequence2_253	-244578	-245234	forward	1	Crp/Fnr family transcriptional regulator
